id_transacao; id_produto;nome_produto;marca;fornecedor ;departamento;categoria;valor;
1;3410.69;produto id3410.69;produto da marca 3411;fornecedor prod3411;bazar;bebida;263;
2;2048.11;produto id2048.11;produto da marca 2048;fornecedor prod2048;mercearia;chocolate;46;
3;771.24;produto id771.24;produto da marca 771;fornecedor prod771;bazar;roupa;108;
4;865.32;produto id865.32;produto da marca 865;fornecedor prod865;mercearia;bebida;428;
5;803.82;produto id803.82;produto da marca 804;fornecedor prod804;bazar;chocolate;172;
6;3539.31;produto id3539.31;produto da marca 3539;fornecedor prod3539;mercearia;roupa;191;
7;1616.31;produto id1616.31;produto da marca 1616;fornecedor prod1616;bazar;bebida;293;
8;5833.46;produto id5833.46;produto da marca 5833;fornecedor prod5833;mercearia;chocolate;147;
9;2355.75;produto id2355.75;produto da marca 2356;fornecedor prod2356;bazar;roupa;92;
10;4536.97;produto id4536.97;produto da marca 4537;fornecedor prod4537;mercearia;bebida;429;
11;2010.49;produto id2010.49;produto da marca 2010;fornecedor prod2010;bazar;chocolate;45;
12;3638.51;produto id3638.51;produto da marca 3639;fornecedor prod3639;mercearia;roupa;101;
13;858.70;produto id858.70;produto da marca 859;fornecedor prod859;bazar;bebida;444;
14;4443.60;produto id4443.60;produto da marca 4444;fornecedor prod4444;mercearia;chocolate;240;
15;1164.72;produto id1164.72;produto da marca 1165;fornecedor prod1165;bazar;roupa;44;
16;2834.89;produto id2834.89;produto da marca 2835;fornecedor prod2835;mercearia;bebida;339;
17;5179.44;produto id5179.44;produto da marca 5179;fornecedor prod5179;bazar;chocolate;122;
18;3746.00;produto id3746.00;produto da marca 3746;fornecedor prod3746;mercearia;roupa;253;
19;3631.16;produto id3631.16;produto da marca 3631;fornecedor prod3631;bazar;bebida;281;
20;4932.27;produto id4932.27;produto da marca 4932;fornecedor prod4932;mercearia;chocolate;78;
21;1378.75;produto id1378.75;produto da marca 1379;fornecedor prod1379;bazar;roupa;154;
22;3299.58;produto id3299.58;produto da marca 3300;fornecedor prod3300;mercearia;bebida;189;
23;4381.56;produto id4381.56;produto da marca 4382;fornecedor prod4382;bazar;chocolate;78;
24;2746.25;produto id2746.25;produto da marca 2746;fornecedor prod2746;mercearia;roupa;33;
25;3664.17;produto id3664.17;produto da marca 3664;fornecedor prod3664;bazar;bebida;326;
26;4530.37;produto id4530.37;produto da marca 4530;fornecedor prod4530;mercearia;chocolate;90;
27;1297.07;produto id1297.07;produto da marca 1297;fornecedor prod1297;bazar;roupa;158;
28;3174.72;produto id3174.72;produto da marca 3175;fornecedor prod3175;mercearia;bebida;207;
29;5835.04;produto id5835.04;produto da marca 5835;fornecedor prod5835;bazar;chocolate;5;
30;5158.85;produto id5158.85;produto da marca 5159;fornecedor prod5159;mercearia;roupa;161;
31;5226.34;produto id5226.34;produto da marca 5226;fornecedor prod5226;bazar;bebida;102;
32;1302.71;produto id1302.71;produto da marca 1303;fornecedor prod1303;mercearia;chocolate;254;
33;1176.65;produto id1176.65;produto da marca 1177;fornecedor prod1177;bazar;roupa;202;
34;5513.57;produto id5513.57;produto da marca 5514;fornecedor prod5514;mercearia;bebida;305;
35;2826.03;produto id2826.03;produto da marca 2826;fornecedor prod2826;bazar;chocolate;192;
36;4166.68;produto id4166.68;produto da marca 4167;fornecedor prod4167;mercearia;roupa;213;
37;3727.53;produto id3727.53;produto da marca 3728;fornecedor prod3728;bazar;bebida;226;
38;1485.10;produto id1485.10;produto da marca 1485;fornecedor prod1485;mercearia;chocolate;171;
39;4417.64;produto id4417.64;produto da marca 4418;fornecedor prod4418;bazar;roupa;87;
40;1748.03;produto id1748.03;produto da marca 1748;fornecedor prod1748;mercearia;bebida;284;
41;238.39;produto id238.39;produto da marca 238;fornecedor prod238;bazar;chocolate;35;
42;3651.52;produto id3651.52;produto da marca 3652;fornecedor prod3652;mercearia;roupa;99;
43;5651.76;produto id5651.76;produto da marca 5652;fornecedor prod5652;bazar;bebida;106;
44;4181.99;produto id4181.99;produto da marca 4182;fornecedor prod4182;mercearia;chocolate;213;
45;4450.31;produto id4450.31;produto da marca 4450;fornecedor prod4450;bazar;roupa;203;
46;4153.61;produto id4153.61;produto da marca 4154;fornecedor prod4154;mercearia;bebida;48;
47;5030.67;produto id5030.67;produto da marca 5031;fornecedor prod5031;bazar;chocolate;256;
48;788.77;produto id788.77;produto da marca 789;fornecedor prod789;mercearia;roupa;168;
49;2234.87;produto id2234.87;produto da marca 2235;fornecedor prod2235;bazar;bebida;68;
50;844.41;produto id844.41;produto da marca 844;fornecedor prod844;mercearia;chocolate;227;
51;1751.91;produto id1751.91;produto da marca 1752;fornecedor prod1752;bazar;roupa;129;
52;4289.19;produto id4289.19;produto da marca 4289;fornecedor prod4289;mercearia;bebida;435;
53;2984.61;produto id2984.61;produto da marca 2985;fornecedor prod2985;bazar;chocolate;20;
54;2253.41;produto id2253.41;produto da marca 2253;fornecedor prod2253;mercearia;roupa;297;
55;1363.71;produto id1363.71;produto da marca 1364;fornecedor prod1364;bazar;bebida;251;
56;552.25;produto id552.25;produto da marca 552;fornecedor prod552;mercearia;chocolate;185;
57;4129.51;produto id4129.51;produto da marca 4130;fornecedor prod4130;bazar;roupa;110;
58;2980.64;produto id2980.64;produto da marca 2981;fornecedor prod2981;mercearia;bebida;149;
59;5103.09;produto id5103.09;produto da marca 5103;fornecedor prod5103;bazar;chocolate;300;
60;1463.05;produto id1463.05;produto da marca 1463;fornecedor prod1463;mercearia;roupa;83;
61;3041.46;produto id3041.46;produto da marca 3041;fornecedor prod3041;bazar;bebida;525;
62;4873.63;produto id4873.63;produto da marca 4874;fornecedor prod4874;mercearia;chocolate;125;
63;3299.79;produto id3299.79;produto da marca 3300;fornecedor prod3300;bazar;roupa;182;
64;3986.42;produto id3986.42;produto da marca 3986;fornecedor prod3986;mercearia;bebida;113;
65;5722.84;produto id5722.84;produto da marca 5723;fornecedor prod5723;bazar;chocolate;13;
66;574.33;produto id574.33;produto da marca 574;fornecedor prod574;mercearia;roupa;55;
67;5702.40;produto id5702.40;produto da marca 5702;fornecedor prod5702;bazar;bebida;248;
68;1706.40;produto id1706.40;produto da marca 1706;fornecedor prod1706;mercearia;chocolate;189;
69;3673.84;produto id3673.84;produto da marca 3674;fornecedor prod3674;bazar;roupa;258;
70;868.08;produto id868.08;produto da marca 868;fornecedor prod868;mercearia;bebida;574;
71;3287.52;produto id3287.52;produto da marca 3288;fornecedor prod3288;bazar;chocolate;241;
