id_transacao;id_cliente;id_loja;data_transacao ;quantidade_itens; valor_total
1;1;loja1;sex 18/12/2020;34;140.90
2;2;loja2;qui 17/12/2020;54;430.46
3;3;loja3;qua 16/12/2020;67;706.79
4;4;loja4;ter 15/12/2020;4;38.14
5;5;loja5;seg 14/12/2020;118;546.97
6;6;loja6;dom 13/12/2020;64;488.72
7;7;loja7;sáb 12/12/2020;118;2898.17
8;8;loja1;sex 11/12/2020;23;9.86
9;9;loja2;qui 10/12/2020;25;109.24
10;10;loja3;qua 09/12/2020;53;165.60
11;11;loja4;ter 08/12/2020;49;634.93
12;12;loja5;seg 07/12/2020;113;567.60
13;13;loja6;dom 06/12/2020;88;497.27
14;14;loja7;sáb 05/12/2020;118;2496.92
15;15;loja1;sex 04/12/2020;59;118.95
16;16;loja2;qui 03/12/2020;47;220.95
17;17;loja3;qua 02/12/2020;64;38.70
18;18;loja4;ter 01/12/2020;43;72.92
19;19;loja5;seg 30/11/2020;76;447.21
20;20;loja6;dom 29/11/2020;58;54.82
21;21;loja7;sáb 28/11/2020;75;464.04
22;22;loja1;sex 27/11/2020;106;1089.30
23;23;loja2;qui 26/11/2020;106;626.75
24;24;loja3;qua 25/11/2020;47;104.47
25;25;loja4;ter 24/11/2020;16;94.94
26;26;loja5;seg 23/11/2020;70;98.17
27;27;loja6;dom 22/11/2020;69;260.10
28;28;loja7;sáb 21/11/2020;46;259.32
29;29;loja1;sex 20/11/2020;61;221.35
30;30;loja2;qui 19/11/2020;57;615.51
31;31;loja3;qua 18/11/2020;10;6.82
32;32;loja4;ter 17/11/2020;11;112.51
33;33;loja5;seg 16/11/2020;17;28.39
34;34;loja6;dom 15/11/2020;97;1016.50
35;35;loja7;sáb 14/11/2020;67;396.01
36;36;loja1;sex 13/11/2020;22;180.59
37;37;loja2;qui 12/11/2020;69;876.47
38;38;loja3;qua 11/11/2020;32;11.01
39;39;loja4;ter 10/11/2020;68;327.86
40;40;loja5;seg 09/11/2020;104;74.63
41;41;loja6;dom 08/11/2020;41;795.17
42;42;loja7;sáb 07/11/2020;13;252.45
43;43;loja1;sex 06/11/2020;108;977.83
44;44;loja2;qui 05/11/2020;21;111.06
45;45;loja3;qua 04/11/2020;6;10.43
46;46;loja4;ter 03/11/2020;96;257.28
47;47;loja5;seg 02/11/2020;58;760.33
48;48;loja6;dom 01/11/2020;20;217.45
49;49;loja7;sáb 31/10/2020;72;1374.68
50;50;loja1;sex 30/10/2020;65;823.77
51;51;loja2;qui 29/10/2020;110;16.74
52;52;loja3;qua 28/10/2020;16;44.11
53;53;loja4;ter 27/10/2020;70;542.90
54;54;loja5;seg 26/10/2020;11;255.06
55;55;loja6;dom 25/10/2020;59;135.00
56;56;loja7;sáb 24/10/2020;102;2399.14
57;57;loja1;sex 23/10/2020;116;390.65
58;58;loja2;qui 22/10/2020;18;14.02
59;59;loja3;qua 21/10/2020;54;47.87
